


yyyy/mmdd(or -ddd)/hh.h):2020/-339/ 0.0UT  geog Lat/Long/Alt= 56.0/  44.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  60180.7   NmF1=      0.0   NmE=   1792.4
Peak Heights/km:     hmF2=   278.57   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             132.4
Dip (Magnetic Inclination)/degree                      71.84
Modip (Modified Dip)/degree                            59.19
Solar Sunspot Number (12-months running mean) Rz12     10.3           
Ionospheric-Effective Solar Index IG12                  0.1           
Solar radio flux F10.7 (daily)                         93.0           
Solar radio flux F10.7 (81-day average)                83.4           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
   0.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  10.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  20.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  30.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  40.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  50.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1   1.5  78
  60.0      -1 -1.000   241   241   241  -1  -1  -1  -1  -1  -1  -1   1.5  78
  70.0      -1 -1.000   228   228   228  -1  -1  -1  -1  -1  -1  -1   1.5  78
  80.0       1  0.000   222   222   222   0   0   0   0   0 1000  -1   1.5  78
  90.0     482  0.008   207   207   207   0   0   0   0   4 996  -1   1.5  78
 100.0    1741  0.029   182   182   182   0   0   0   0  23 977  -1   1.5  78
 110.0    1792  0.030   214   214   214   0   0   0   0  34 966  -1   1.5  78
 120.0     970  0.016   349   349   349   0   0   0   0  18 981  -1   1.5  78
 130.0     451  0.007   467   467   467   0   0   0   0   9 990  -1   1.5  78
 140.0     379  0.006   537   537   537   0   0   0   0  10 990  -1   1.5  78
 150.0     547  0.009   583   583   618   1   0   0   0  17 982  -1   1.5  78
 160.0     928  0.015   614   614   677   4   0   0   0  35 961  -1   1.5  78
 170.0    1428  0.024   634   634   720  11   0   0   0  65 924  -1   1.5  78
 180.0    2672  0.044   647   647   758  35   0   0   0 130 835  -1   1.5  78
 190.0    5316  0.088   656   656   796 105   0   0   0 220 675  -1   1.5  78
 200.0    9736  0.162   662   662   834 256   0   0   0 261 482  -1   1.5  78
